KIC,gmag,gmag_err,kmag,kmag_err,parallax,parallax_err,feh,feh_err,RUWE,num_gaia_companions,Kmag_final_prov,evstate,iso_mass,iso_mass_err1,iso_mass_err2,iso_teff,iso_teff_err1,iso_teff_err2,iso_logg,iso_logg_err1,iso_logg_err2,iso_feh,iso_feh_err1,iso_feh_err2,iso_rad,iso_rad_err1,iso_rad_err2,iso_rho,iso_rho_err1,iso_rho_err2,iso_lum,iso_lum_err1,iso_lum_err2,iso_age,unReAgeFlag,iso_age_err1,iso_age_err2,iso_dis,iso_dis_err1,iso_dis_err2,iso_avs,iso_gof,TAMS,DAI_cdpp3,DAI_cdpp6,DAI_cdpp12,DAI_std_vra,DAI_std_vdec,DAI_mean_vra,DAI_mean_vdec,DAI_sigma_vra,DAI_sigma_vdec,DAI_ra_gaia,DAI_dec_gaia,DAI_parallax,DAI_parallax_error,DAI_pmra,DAI_pmra_error,DAI_pmdec,DAI_pmdec_error,dutycycle,dutycycle_post,dataspan,dataspan_post,B2018_teff,B2018_teffe,B2018_dis,B2018_disep,B2018_disem,B2018_rad,B2018_radep,B2018_radem,B2018_avs,B2018_evState,B2018_binaryFlag,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,iso_koi_prad,iso_semi_major_axis,iso_koi_teq,q,vec2D
1717722,16.6161,0.0206,13.358,0.039,1.6893,0.0349,-0.254,0.15,0.9577,0,nan,nan,0.672,0.028,-0.026,4706.4,88.9,-83.4,4.629,0.022,-0.024,-0.281,0.108,-0.108,0.6559999999999999,0.018000000000000002,-0.017,0.3720000000000001,-0.7609999999999999,-0.764,-0.718,-1.747,-1.8,7.99,*,7.18,-5.59,591.8,17.2,-16.5,0.278,1.0,33.1,398.089,301.91,242.277,25.7598973087747,36.1716762587655,-2.70745661695434,-12.301175631863199,1.47488617492711,0.6576705413498101,290.61785865122,37.289100186009996,1.6593,0.0349,-14.246,0.056,4.021,0.067,0.8741,0.6253,1420.672,1420.4879999999996,4804,168,592.818,12.392,11.927,0.6459999999999999,0.051,0.046,0.17600000000000002,0,,CANDIDATE,CANDIDATE,1.0,4.53702121,2.498e-05,-2.498e-05,132.1846,0.00446,-0.00446,0.706,0.058,-0.491,1.813,0.124,-0.124,504.4,36.5,-36.5,1.66,0.19,-0.11,798.0,nan,nan,95.61,38.11,-21.67,15.7,1.57798254928584,0.046979098580372,775.7043433806032,2.084405218313395,41.53455421615793
1717722,16.6161,0.0206,13.358,0.039,1.6893,0.0349,-0.254,0.15,0.9577,0,nan,nan,0.672,0.028,-0.026,4706.4,88.9,-83.4,4.629,0.022,-0.024,-0.281,0.108,-0.108,0.6559999999999999,0.018000000000000002,-0.017,0.3720000000000001,-0.7609999999999999,-0.764,-0.718,-1.747,-1.8,7.99,*,7.18,-5.59,591.8,17.2,-16.5,0.278,1.0,33.1,398.089,301.91,242.277,25.7598973087747,36.1716762587655,-2.70745661695434,-12.301175631863199,1.47488617492711,0.6576705413498101,290.61785865122,37.289100186009996,1.6593,0.0349,-14.246,0.056,4.021,0.067,0.8741,0.6253,1420.672,1420.4879999999996,4804,168,592.818,12.392,11.927,0.6459999999999999,0.051,0.046,0.17600000000000002,0,,CANDIDATE,CANDIDATE,0.858,0.977311489,4.631e-06,-4.631e-06,131.70299,0.00343,-0.00343,0.01,0.461,-0.01,1.403,0.127,-0.127,250.7,20.5,-20.5,1.06,0.12,-0.07,1331.0,nan,nan,737.36,293.96,-167.1,14.8,1.00547820172152,0.016881569040165002,1294.02348484204,2.084405218313395,41.53455421615793
1865864,16.4634,0.0205,13.289,0.033,1.6209,0.0297,0.0,0.15,1.1567,0,nan,nan,0.737,0.031,-0.034,4831.2,91.7,-86.3,4.607,0.02,-0.027000000000000003,-0.131,0.107,-0.107,0.706,0.018000000000000002,-0.018000000000000002,0.317,-0.8390000000000001,-0.8079999999999999,-0.608,-1.703,-1.704,5.18,*,6.91,-3.79,622.8,16.2,-15.9,0.434,1.0,27.34,335.341,265.115,225.907,25.614334474307398,36.59213349410779,-2.8109918009018497,-13.226173523940801,0.351984329393756,1.77235448001317,290.87301553726,37.36226732537,1.5909,0.0297,-3.969,0.049,17.326,0.06,0.8745,0.8636,1420.672,1420.672,4842,169,617.635,11.418,11.042,0.698,0.054000000000000006,0.049,0.274,0,,CANDIDATE,CANDIDATE,0.523,69.08935699999999,0.0023710000000000003,-0.0023710000000000003,135.4461,0.028,-0.028,0.051,0.416,-0.051,6.207000000000002,0.93,-0.93,475.1,73.5,-73.5,1.47,0.13,-0.14,332.0,nan,nan,2.87,0.92,-0.8,8.6,1.48656084363682,0.297644351496974,328.183205289275,2.1118112736360555,51.978848126087186
2161949,15.1713,0.0201,12.809,0.03,1.2251,0.0196,nan,nan,0.9061,0,nan,nan,0.943,0.075,-0.071,5639.1,118.0,-114.9,4.37,0.046,-0.047,0.02,0.14800000000000002,-0.161,1.046,0.029,-0.029,-0.09,-0.959,-1.013,0.0,-1.06,-1.119,8.17,nan,4.31,-3.98,813.6,21.0,-20.4,0.416,1.0,12.51,168.64,125.585,96.95,26.2251062301966,38.03563610335471,-3.4853869315777097,-18.288818185127,0.8304893283000051,2.31067562382714,291.81291886682004,37.55592011131,1.1951,0.0196,4.612,0.033,17.546,0.039,0.8733,0.7601,1458.931,1458.931,5686,199,816.922,13.15,12.774,1.047,0.08,0.073,0.355,0,,CANDIDATE,CANDIDATE,0.813,4.78113942,6.037e-05,-6.037e-05,131.7043,0.0111,-0.0111,0.118,0.345,-0.118,2.733,0.297,-0.297,105.8,12.8,-12.8,1.14,0.31,-0.22,1130.0,nan,nan,386.46,316.02,-156.84,9.6,1.06403955993164,0.054466050577556,1089.9849557272998,2.396119812704375,70.19275552646945
2161949,15.1713,0.0201,12.809,0.03,1.2251,0.0196,nan,nan,0.9061,0,nan,nan,0.943,0.075,-0.071,5639.1,118.0,-114.9,4.37,0.046,-0.047,0.02,0.14800000000000002,-0.161,1.046,0.029,-0.029,-0.09,-0.959,-1.013,0.0,-1.06,-1.119,8.17,nan,4.31,-3.98,813.6,21.0,-20.4,0.416,1.0,12.51,168.64,125.585,96.95,26.2251062301966,38.03563610335471,-3.4853869315777097,-18.288818185127,0.8304893283000051,2.31067562382714,291.81291886682004,37.55592011131,1.1951,0.0196,4.612,0.033,17.546,0.039,0.8733,0.7601,1458.931,1458.931,5686,199,816.922,13.15,12.774,1.047,0.08,0.073,0.355,0,,CANDIDATE,CANDIDATE,0.967,7.18864064,7.758e-05,-7.758e-05,133.14566000000002,0.00961,-0.00961,0.424,0.029,-0.424,2.364,0.334,-0.334,133.5,17.5,-17.5,1.3,0.36,-0.24,987.0,nan,nan,223.87,183.07,-90.85,9.3,1.22000589902949,0.071483004078499,951.4414078412241,2.396119812704375,70.19275552646945
2284957,15.0038,0.0201,13.003,0.028,0.7858,0.0231,nan,nan,1.1293,0,nan,nan,1.07,0.095,-0.083,5817.4,109.7,-105.6,4.144,0.046,-0.051,0.03,0.166,-0.161,1.4469999999999998,0.053,-0.051,-0.458,-1.306,-1.335,0.337,-0.696,-0.7390000000000001,7.09,nan,2.24,-2.29,1263.7,44.5,-42.7,0.217,1.0,7.79,151.425,113.495,86.834,27.3100574127804,42.194617764091,-8.73285770380198,-27.406999590728997,1.71348545878313,0.611929229095824,286.619102634,37.62623419375,0.7558,0.0231,-8.853,0.037000000000000005,-0.253,0.039,0.8738,0.8663,1458.931,1458.931,5978,209,1275.827,38.338,36.264,1.456,0.117,0.106,0.16699999999999998,0,,CANDIDATE,CANDIDATE,0.416,419.2615,0.029310000000000006,-0.029310000000000006,187.5475,0.0581,-0.0581,0.5,0.447,-0.29600000000000004,21.53,2.6,-2.6,287.8,41.8,-41.8,1.7,0.46,-0.31,256.0,nan,nan,1.02,0.82,-0.41,10.1,2.52060112933319,1.12129262005584,291.481850535896,2.2866645873763396,53.42371097904968
2441728,13.4376,0.02,11.619000000000002,0.017,1.8186,0.015,-0.5670000000000001,0.15,1.0542,0,nan,nan,0.929,0.066,-0.061,6168.5,130.9,-123.7,4.272,0.039,-0.04,-0.551,0.131,-0.133,1.164,0.024,-0.023,-0.235,-1.1840000000000002,-1.229,0.25,-0.867,-0.905,7.17,nan,2.66,-2.37,548.5,9.9,-9.7,0.304,1.0,8.71,61.323,46.306,35.832,24.4236409411122,36.7929217238951,-1.2589033739981002,-10.633844789087,1.44558257221069,2.76073661011181,291.07450501501,37.74453153215,1.7886,0.015,12.845999999999998,0.025,34.312,0.026,0.8735,0.6611,1458.931,1458.7879999999998,6029,211,549.991,4.525,4.464,1.176,0.087,0.079,0.171,0,,FALSE POSITIVE,FALSE POSITIVE,0.0,0.8568953490000001,1.493e-06,-1.493e-06,133.67521000000002,0.00149,-0.00149,0.5539999999999999,0.019,-0.478,1.3078,0.0502,-0.0502,82.2,3.1,-3.1,0.82,0.25,-0.07,1881.0,nan,nan,2960.82,2627.85,-788.31,33.1,1.09697669713551,0.017227601226679,2236.4101870129107,2.8940384231170384,95.49294741252585
2716853,16.3406,0.0204,13.939,0.059,0.8140000000000001,0.0314,nan,nan,0.9089,0,nan,nan,0.922,0.061,-0.067,5570.7,109.7,-109.1,4.4510000000000005,0.047,-0.057,-0.01,0.138,-0.156,0.94,0.045,-0.041,0.036000000000000004,-0.772,-0.7709999999999999,-0.112,-1.029,-1.08,6.06,nan,5.07,-3.86,1222.9,58.6,-54.9,0.403,1.0,13.36,356.204,264.235,197.446,26.4402455905857,38.033235432510295,-9.33188312625049,-27.1545789535527,1.0680587087975,2.15467480869826,292.26814690259,37.9556719666,0.784,0.0314,3.127,0.055,9.062,0.057,0.8745,0.84,1420.672,1420.672,5688,199,1234.016,49.257,45.737,0.939,0.084,0.075,0.28600000000000003,0,,CONFIRMED,CANDIDATE,1.0,18.82744023,7.934e-05,-7.934e-05,196.19088,0.00313,-0.00313,0.025,0.412,-0.025,4.664,0.106,-0.106,1006.2,36.2,-36.2,2.7,0.78,-0.25,632.0,nan,nan,37.82,32.51,-10.39,29.5,2.95199272165692,0.134804857220987,648.826732685073,2.25644975495002,55.822194151264895
2716853,16.3406,0.0204,13.939,0.059,0.8140000000000001,0.0314,nan,nan,0.9089,0,nan,nan,0.922,0.061,-0.067,5570.7,109.7,-109.1,4.4510000000000005,0.047,-0.057,-0.01,0.138,-0.156,0.94,0.045,-0.041,0.036000000000000004,-0.772,-0.7709999999999999,-0.112,-1.029,-1.08,6.06,nan,5.07,-3.86,1222.9,58.6,-54.9,0.403,1.0,13.36,356.204,264.235,197.446,26.4402455905857,38.033235432510295,-9.33188312625049,-27.1545789535527,1.0680587087975,2.15467480869826,292.26814690259,37.9556719666,0.784,0.0314,3.127,0.055,9.062,0.057,0.8745,0.84,1420.672,1420.672,5688,199,1234.016,49.257,45.737,0.939,0.084,0.075,0.28600000000000003,0,,FALSE POSITIVE,FALSE POSITIVE,0.04,68.832195,0.001078,-0.001078,172.12379,0.00964,-0.00964,0.633,0.02,-0.491,3.31,0.332,-0.332,678.1,83.9,-83.9,2.35,0.67,-0.23,411.0,nan,nan,6.71,5.77,-1.84,8.2,2.5607314168796296,0.319918313561077,421.174389181184,2.25644975495002,55.822194151264895
2719873,15.815,0.0202,13.128,0.036000000000000004,1.378,0.0286,-0.229,0.15,0.9758,0,nan,nan,0.787,0.049,-0.037000000000000005,5224.4,103.5,-93.9,4.487,0.039,-0.03,-0.15,0.121,-0.114,0.8340000000000001,0.024,-0.024,0.127,-0.812,-0.92,-0.328,-1.357,-1.395,12.76,*,4.64,-5.73,719.5,20.9,-21.0,0.298,1.0,21.42,282.713,229.012,195.453,24.6591083479595,36.222828556497504,-3.21863721322174,-15.548170678461,3.61039064954786,0.923952557251574,292.93045810755,37.96433928032,1.348,0.0286,-26.231,0.044,-13.938,0.05,0.8642,0.8123,1458.931,1458.931,5252,184,726.7180000000002,15.262,14.686,0.845,0.066,0.06,0.184,0,,FALSE POSITIVE,FALSE POSITIVE,0.0,17.279290765,8.890000000000002e-07,-8.890000000000002e-07,135.2741342,4.15e-05,-4.15e-05,0.496,0.005,-0.001,5.07591,0.00139,-0.00139,164308.0,76.5,-76.5,27.66,2.9,-2.19,556.0,nan,nan,22.63,8.42,-5.62,2841.5,35.0145078097553,0.120765597563089,605.557847537832,3.75868058815606,102.17518572579458
