KIC,gmag,gmag_err,kmag,kmag_err,parallax,parallax_err,feh,feh_err,RUWE,num_gaia_companions,Kmag_final_prov,evstate,iso_mass,iso_mass_err1,iso_mass_err2,iso_teff,iso_teff_err1,iso_teff_err2,iso_logg,iso_logg_err1,iso_logg_err2,iso_feh,iso_feh_err1,iso_feh_err2,iso_rad,iso_rad_err1,iso_rad_err2,iso_rho,iso_rho_err1,iso_rho_err2,iso_lum,iso_lum_err1,iso_lum_err2,iso_age,unReAgeFlag,iso_age_err1,iso_age_err2,iso_dis,iso_dis_err1,iso_dis_err2,iso_avs,iso_gof,TAMS,DAI_cdpp3,DAI_cdpp6,DAI_cdpp12,DAI_std_vra,DAI_std_vdec,DAI_mean_vra,DAI_mean_vdec,DAI_sigma_vra,DAI_sigma_vdec,DAI_ra_gaia,DAI_dec_gaia,DAI_parallax,DAI_parallax_error,DAI_pmra,DAI_pmra_error,DAI_pmdec,DAI_pmdec_error,dutycycle,dutycycle_post,dataspan,dataspan_post,B2018_teff,B2018_teffe,B2018_dis,B2018_disep,B2018_disem,B2018_rad,B2018_radep,B2018_radem,B2018_avs,B2018_evState,B2018_binaryFlag,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,iso_koi_prad,iso_semi_major_axis,iso_koi_teq,q,vec2D
1026957,13.2722,0.0237,10.41,0.017,5.8853,0.022,-0.01,0.15,1.0631,0,nan,nan,0.7390000000000001,0.031,-0.035,4771.7,78.0,-72.6,4.595,0.021,-0.025,-0.062,0.102,-0.1,0.7170000000000001,0.012,-0.012,0.3,-0.931,-0.889,-0.618,-1.824,-1.864,6.97,*,7.15,-4.91,170.0,2.7,-2.7,0.0,1.0,28.45,67.15100000000001,62.699,66.929,26.277773906409198,39.0258258697858,2.88836289571616,-0.08341719392331,0.34992699490677603,0.724938761362544,291.25442292748,36.74343020079,5.8553,0.022,-7.79,0.038,-35.047,0.047,0.8734,0.865,1458.931,1458.931,4925,99,169.922,0.631,0.628,0.7040000000000001,0.029,0.028,0.058,0,,CANDIDATE,CANDIDATE,1.0,21.76129812,1.727e-05,-1.727e-05,166.540438,0.000641,-0.000641,0.123,0.28800000000000003,-0.123,1.243,0.026,-0.026,1300.7,26.8,-26.8,2.53,0.16,-0.1,486.0,nan,nan,13.18,3.0,-1.98,60.0,2.5155525295150603,0.137913165621241,479.885528521732,0.8249405053175024,28.915599683851344
1432214,16.1159,0.0203,14.201,0.073,0.5677,0.0301,0.181,0.15,0.999,0,nan,nan,1.16,0.058,-0.061,6100.7,109.6,-108.1,4.373,0.035,-0.046,0.108,0.127,-0.132,1.155,0.065,-0.058,-0.133,-0.992,-0.978,0.224,-0.607,-0.685,1.43,nan,1.54,-0.95,1787.2,103.0,-95.8,0.402,1.0,6.11,332.5080000000001,244.592,182.918,29.3388893079293,43.5928489552631,-14.655514652780099,-38.35406295966271,0.535401994744079,0.152831855144176,291.38264773395,37.07297544558,0.5377,0.0301,-3.444,0.053,-5.106,0.058,0.8744,0.8654,1420.672,1420.672,6015,120,1774.635,99.177,89.448,1.157,0.091,0.083,0.307,0,,FALSE POSITIVE,FALSE POSITIVE,0.0,161.78832712,3.539e-05,-3.539e-05,214.039,0.000166,-0.000166,0.267,0.03,-0.055,5.31,0.0123,-0.0123,87750.0,154.0,-154.0,36.14,6.24,-3.63,375.0,nan,nan,4.68,2.07,-1.12,704.5,34.404502351484,0.610546156215496,370.10011364699994,0.672649205169565,51.423833384225816
1433962,16.6227,0.0206,13.004,0.034,2.0699,0.0356,nan,nan,1.0623,0,nan,nan,0.67,0.026,-0.024,4383.3,86.1,-76.1,4.629,0.019,-0.021,-0.018000000000000002,0.111,-0.108,0.655,0.016,-0.016,0.373,-0.813,-0.826,-0.845,-1.87,-1.979,8.28,*,7.17,-5.79,484.3,14.2,-12.8,0.13699999999999998,1.0,40.17,326.177,260.818,209.069,23.2042530091143,35.6535967280319,-0.600728453321803,-8.50642896400895,0.7532835510170109,0.7380801851426808,291.76191058315,37.098545612840006,2.0399,0.0356,-7.78,0.051,-14.984000000000002,0.051,0.8733,0.474,1458.931,1458.931,4503,158,483.606,8.382,8.123,0.648,0.05,0.045,0.16899999999999998,0,,FALSE POSITIVE,FALSE POSITIVE,0.0,1.5926331809999998,nan,nan,133.9243804,nan,nan,0.003,nan,nan,5.5605,nan,nan,633.1,nan,nan,1.56,0.13,-0.12,1053.0,nan,nan,290.51,87.21,-73.46,66.9,1.57229061703329,0.023354459605082995,1023.86982050289,0.9069288070232752,38.66237028815965
1571511,13.8621,0.02,11.987,0.02,1.293,0.0161,0.224,0.15,0.998,0,nan,nan,1.311,0.045,-0.056,6328.7,122.9,-113.4,4.2860000000000005,0.025,-0.03,0.222,0.119,-0.147,1.36,0.03,-0.03,-0.28600000000000003,-1.403,-1.359,0.425,-0.626,-0.8420000000000001,1.21,nan,0.92,-0.7,772.4,14.7,-16.6,0.496,1.0,4.25,89.071,72.398,66.199,26.390957514050694,38.0121168073997,-4.25582093543807,-17.289902026209198,0.203400902882525,0.4719465082967021,290.99688417547003,37.1991752227,1.263,0.0161,-2.564,0.026,-9.386,0.03,0.8734,0.7677,1458.931,1458.931,6062,212,773.7710000000002,9.655,9.445,1.402,0.105,0.095,0.343,0,,FALSE POSITIVE,FALSE POSITIVE,0.004,14.022451457,1.166e-06,-1.166e-06,177.5952096,6.65e-05,-6.65e-05,0.189,0.013,-0.017,8.08619,0.00571,-0.00571,20082.9,9.0,-9.0,14.93,4.59,-1.98,810.0,nan,nan,101.92,91.75,-33.91,2707.7,19.3174863348019,0.124552154044772,922.393321621293,0.5160077594417756,35.668800936940244
1721157,15.9107,0.0203,13.119000000000002,0.03,1.6481,0.028,0.181,0.15,1.0088,0,nan,nan,0.787,0.028,-0.035,4916.9,88.0,-81.6,4.597,0.016,-0.024,-0.031,0.109,-0.106,0.7390000000000001,0.017,-0.017,0.28800000000000003,-0.953,-0.889,-0.54,-1.631,-1.635,3.06,*,5.19,-2.25,614.9,14.8,-14.8,0.208,1.0,23.32,283.741,245.305,233.712,25.5596933539949,35.936748854419704,-2.42759494154728,-12.990405887056902,0.16578841344544,0.7840193312736079,291.45733579483,37.20684996199,1.6181,0.028,-2.275,0.043,5.183,0.049,0.8733,0.8183,1458.931,1458.931,5126,179,607.344,10.394,10.078,0.71,0.054000000000000006,0.049,0.206,0,,CANDIDATE,CANDIDATE,0.97,3.44928111,2.122e-05,-2.122e-05,133.38221,0.0048200000000000005,-0.0048200000000000005,0.534,0.4320000000000001,-0.317,1.4240000000000002,0.16399999999999998,-0.16399999999999998,237.0,29.2,-29.2,1.23,0.16,-0.09,966.0,nan,nan,206.55,91.39,-46.68,9.7,1.1615531808845905,0.041248834903014,917.9426729518941,0.91718253365373,16.279273933345245
1724719,14.3522,0.02,12.59,0.026,1.0591,0.0179,0.103,0.15,0.9025,0,nan,nan,1.235,0.046,-0.057,6334.8,109.0,-118.3,4.329,0.024,-0.033,0.06,0.127,-0.141,1.259,0.031,-0.033,-0.212,-1.3030000000000002,-1.244,0.363,-0.767,-0.7490000000000001,1.18,nan,1.14,-0.74,945.2,21.9,-24.8,0.403,1.0,4.74,114.532,94.254,85.785,25.090246881069607,36.9341530027705,-4.72396493124053,-20.4381046145973,0.020104750131793,0.478906698922357,292.20467479828,37.22120648631,1.0291,0.0179,-1.135,0.029,-0.597,0.029,0.8733,0.7722,1458.931,1458.931,6174,123,945.03,16.086,15.598,1.275,0.059,0.056,0.29100000000000004,0,,CONFIRMED,CANDIDATE,0.956,5.79179934,3.35e-05,-3.35e-05,133.35814,0.00527,-0.00527,0.8959999999999999,0.064,-0.7020000000000001,3.474,0.132,-0.132,118.5,7.2,-7.2,1.69,0.31,-0.26,1222.0,nan,nan,528.14,248.86,-168.22,17.7,1.61194609513805,0.06771720731022099,1204.76976882416,0.5496368973500072,5.7395257121371035
1724719,14.3522,0.02,12.59,0.026,1.0591,0.0179,0.103,0.15,0.9025,0,nan,nan,1.235,0.046,-0.057,6334.8,109.0,-118.3,4.329,0.024,-0.033,0.06,0.127,-0.141,1.259,0.031,-0.033,-0.212,-1.3030000000000002,-1.244,0.363,-0.767,-0.7490000000000001,1.18,nan,1.14,-0.74,945.2,21.9,-24.8,0.403,1.0,4.74,114.532,94.254,85.785,25.090246881069607,36.9341530027705,-4.72396493124053,-20.4381046145973,0.020104750131793,0.478906698922357,292.20467479828,37.22120648631,1.0291,0.0179,-1.135,0.029,-0.597,0.029,0.8733,0.7722,1458.931,1458.931,6174,123,945.03,16.086,15.598,1.275,0.059,0.056,0.29100000000000004,0,,CANDIDATE,CANDIDATE,1.0,10.0989634,0.0001171,-0.0001171,132.3351,0.008409999999999999,-0.008409999999999999,0.529,0.435,-0.325,6.428,0.472,-0.472,57.0,7.2,-7.2,1.03,0.18,-0.16,1016.0,nan,nan,251.36,118.44,-80.06,8.9,0.978181294570483,0.098101255777911,1000.95902011379,0.5496368973500072,5.7395257121371035
1725016,15.76,0.0202,13.603,0.047,0.5884,0.0267,0.234,0.15,0.9929,0,nan,nan,1.209,0.06,-0.085,5915.4,123.3,-117.1,4.185,0.045,-0.05,0.213,0.133,-0.128,1.456,0.08,-0.07400000000000001,-0.42,-1.207,-1.236,0.374,-0.544,-0.551,4.02,nan,1.94,-1.14,1678.7,88.8,-84.5,0.464,1.0,5.64,255.36,191.162,149.062,25.426887645163003,40.174953431614796,-13.551140278348901,-37.7373280593065,0.502228245476232,0.483519086653437,292.26287793192995,37.23697322593,0.5584,0.0267,-0.092,0.046,-2.157,0.048,0.8721,0.8137,1238.002,1238.002,5923,207,1708.905,80.88600000000002,74.09,1.487,0.136,0.122,0.319,0,,CONFIRMED,CANDIDATE,1.0,7.40742502,3.66e-05,-3.66e-05,355.4965200000001,0.00325,-0.00325,0.03,0.401,-0.03,3.675,0.101,-0.101,442.0,21.0,-21.0,2.01,0.62,-0.21,938.0,nan,nan,183.15,171.57,-55.16,23.1,3.0444873024882,0.079223615527034,1118.52393814766,0.6653489181235109,17.39203871452399
1995519,16.5037,0.0205,14.191,0.053,0.7138,0.0409,nan,nan,1.0007,0,nan,nan,0.903,0.064,-0.064,5498.3,108.0,-104.2,4.433,0.059,-0.065,0.009000000000000001,0.14400000000000002,-0.157,0.948,0.059,-0.053,0.014,-0.6779999999999999,-0.7190000000000001,-0.127,-0.958,-1.027,7.98,nan,5.38,-4.77,1383.2,86.4,-78.7,0.248,1.0,14.56,377.85,285.276,215.698,26.6046940436936,40.0147730301787,-8.85780184538552,-33.3441589755302,0.7257998991567579,0.669327554110805,286.1501262757,37.41134383137,0.6838,0.0409,-4.063,0.073,-8.673,0.069,0.8738,0.8487,1458.931,1458.931,5619,197,1414.496,86.12899999999998,76.98,0.965,0.096,0.086,0.199,0,,CONFIRMED,CANDIDATE,0.952,19.9401211,0.0001344,-0.0001344,142.34849,0.0053,-0.0053,0.862,0.083,-0.621,4.283,0.188,-0.188,758.9,47.1,-47.1,2.42,0.47,-0.2,588.0,nan,nan,28.29,16.48,-7.22,18.0,3.00482844301594,0.139096272896296,633.115086109922,0.896052439271162,63.59967349451108
1996180,14.2803,0.02,12.503,0.022,1.2036,0.0268,0.021,0.15,1.0668,0,nan,nan,1.118,0.06,-0.069,6104.5,113.4,-111.1,4.351,0.034,-0.04,0.0,0.133,-0.133,1.165,0.034,-0.033,-0.157,-1.119,-1.125,0.231,-0.828,-0.898,2.49,nan,2.06,-1.48,828.7,23.7,-22.1,0.248,1.0,6.48,110.443,88.68299999999998,78.149,26.8349183401303,39.6624631789134,-3.68850744220012,-17.9240649998186,0.265548958206441,0.499908280122809,286.34429542683,37.41193466162,1.1736,0.0268,0.851,0.038,-9.346,0.052000000000000005,0.8733,0.705,1458.931,1458.931,6099,122,832.17,18.783,18.019,1.171,0.056,0.053,0.17800000000000002,0,,CONFIRMED,CANDIDATE,0.999,3.02558494,1.202e-05,-1.202e-05,134.36744,0.00348,-0.00348,0.8390000000000001,0.035,-0.573,3.0008,0.0911,-0.0911,128.3,5.9,-5.9,1.62,0.29,-0.25,1484.0,nan,nan,1148.47,592.81,-389.77,23.8,1.4889257284301,0.042490112707296,1409.86304493215,0.7525814142263492,36.958546866266616
