KIC,gmag,gmag_err,kmag,kmag_err,parallax,parallax_err,feh,feh_err,RUWE,num_gaia_companions,Kmag_final_prov,evstate,iso_mass,iso_mass_err1,iso_mass_err2,iso_teff,iso_teff_err1,iso_teff_err2,iso_logg,iso_logg_err1,iso_logg_err2,iso_feh,iso_feh_err1,iso_feh_err2,iso_rad,iso_rad_err1,iso_rad_err2,iso_rho,iso_rho_err1,iso_rho_err2,iso_lum,iso_lum_err1,iso_lum_err2,iso_age,unReAgeFlag,iso_age_err1,iso_age_err2,iso_dis,iso_dis_err1,iso_dis_err2,iso_avs,iso_gof,TAMS,DAI_cdpp3,DAI_cdpp6,DAI_cdpp12,DAI_std_vra,DAI_std_vdec,DAI_mean_vra,DAI_mean_vdec,DAI_sigma_vra,DAI_sigma_vdec,DAI_ra_gaia,DAI_dec_gaia,DAI_parallax,DAI_parallax_error,DAI_pmra,DAI_pmra_error,DAI_pmdec,DAI_pmdec_error,dutycycle,dutycycle_post,dataspan,dataspan_post,B2018_teff,B2018_teffe,B2018_dis,B2018_disep,B2018_disem,B2018_rad,B2018_radep,B2018_radem,B2018_avs,B2018_evState,B2018_binaryFlag,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,iso_koi_prad,iso_semi_major_axis,iso_koi_teq,q,vec2D
757450,15.895,0.0202,13.118,0.029,1.1989,0.0261,0.229,0.15,1.03,0,nan,nan,0.914,0.062,-0.057,5301.2,111.0,-103.1,4.432,0.045,-0.044,0.242,0.13,-0.134,0.957,0.029,-0.028,0.01,-0.85,-0.915,-0.182,-1.241,-1.281,9.46,nan,5.36,-5.15,829.6,24.0,-23.4,0.465,1.0,16.1,346.195,284.999,246.878,25.034236775144898,37.906257131363795,-2.96735998713965,-18.298611145401303,1.41292290452261,0.220715407912831,291.13762027936,36.57734431115,1.1689,0.0261,7.99,0.044,-2.449,0.05,0.8736,0.8457,1458.931,1458.931,5306,106,835.3710000000002,18.423,17.692,0.962,0.047,0.044,0.298,0,,CONFIRMED,CANDIDATE,0.999,8.884922995,1.636e-06,-1.636e-06,169.99168600000004,0.000144,-0.000144,0.069,0.087,-0.069,2.07004,0.007090000000000002,-0.007090000000000002,16053.4,47.4,-47.4,10.51,0.56,-0.57,770.0,nan,nan,83.21,16.69,-13.87,388.2,11.912957766043196,0.08147397261432901,801.361584815136,1.5132742015780984,33.04002358291135
1431122,15.1782,0.0201,12.835,0.031,1.5075,0.0215,0.23,0.15,1.0132,0,nan,nan,0.931,0.031,-0.036000000000000004,5480.2,89.6,-91.0,4.535,0.016,-0.023,0.039,0.102,-0.109,0.862,0.02,-0.021,0.159,-1.053,-1.01,-0.217,-1.327,-1.321,1.82,nan,2.53,-1.28,669.3,16.3,-17.6,0.371,1.0,13.32,173.635,135.058,110.477,25.600256034963397,36.3183083580073,-2.99412517354203,-14.1762444407356,0.493451220492376,1.1117507206828798,291.14247796049,37.0613304485,1.4775,0.0215,3.004,0.035,8.166,0.037000000000000005,0.8733,0.8115,1458.931,1458.931,5295,106,663.789,9.507,9.267,0.873,0.04,0.038,0.326,0,,CANDIDATE,CANDIDATE,0.99,4.298920099999999,2.01e-05,-2.01e-05,132.86186999999998,0.00396,-0.00396,0.972,0.032,-0.757,2.747,0.131,-0.131,237.6,13.7,-13.7,2.12,0.27,-0.27,1046.0,nan,nan,283.62,100.01,-78.24,20.0,1.85170533851774,0.050523162173459014,998.4184246054319,1.1148752040871477,27.35839905630421
1718189,14.715,0.0201,12.732,0.025,1.6324,0.0201,-0.343,0.15,0.993,0,nan,nan,0.853,0.025,-0.036000000000000004,5761.6,163.0,-144.8,4.572,0.014,-0.022,-0.488,0.122,-0.124,0.79,0.011,-0.01,0.234,-1.111,-0.992,-0.21,-1.0659999999999998,-1.217,1.79,nan,2.62,-1.26,599.4,9.9,-7.9,0.261,1.0,12.33,122.851,92.619,68.795,24.150578806030694,36.790350466438106,-1.80164611676979,-12.4414853157435,1.21714697063512,0.170190052430546,290.72871684784,37.25265753911,1.6024,0.0201,9.327,0.032,-2.089,0.036000000000000004,0.8737,0.8113,1458.931,1458.931,5549,111,612.8969999999998,7.562,7.4,0.825,0.037000000000000005,0.035,0.245,0,,CONFIRMED,CANDIDATE,1.0,21.85362905,9.226e-05,-9.226e-05,144.32031,0.00379,-0.00379,0.6759999999999999,0.035,-0.511,3.439,0.108,-0.108,355.6,16.7,-16.7,1.75,0.47,-0.16,618.0,nan,nan,34.57,26.7,-8.92,23.0,1.57657240996535,0.14507740221134302,593.013489175716,1.2643608115020597,27.753791023523913
1718189,14.715,0.0201,12.732,0.025,1.6324,0.0201,-0.343,0.15,0.993,0,nan,nan,0.853,0.025,-0.036000000000000004,5761.6,163.0,-144.8,4.572,0.014,-0.022,-0.488,0.122,-0.124,0.79,0.011,-0.01,0.234,-1.111,-0.992,-0.21,-1.0659999999999998,-1.217,1.79,nan,2.62,-1.26,599.4,9.9,-7.9,0.261,1.0,12.33,122.851,92.619,68.795,24.150578806030694,36.790350466438106,-1.80164611676979,-12.4414853157435,1.21714697063512,0.170190052430546,290.72871684784,37.25265753911,1.6024,0.0201,9.327,0.032,-2.089,0.036000000000000004,0.8737,0.8113,1458.931,1458.931,5549,111,612.8969999999998,7.562,7.4,0.825,0.037000000000000005,0.035,0.245,0,,CONFIRMED,CANDIDATE,1.0,13.0607936,0.0001053,-0.0001053,137.63148,0.00577,-0.00577,0.718,0.262,-0.49,3.215,0.195,-0.195,236.6,14.1,-14.1,1.45,0.38,-0.13,734.0,nan,nan,68.66,53.04,-17.72,19.4,1.3021198998134198,0.102935166180892,704.01606993963,1.2643608115020597,27.753791023523913
1718189,14.715,0.0201,12.732,0.025,1.6324,0.0201,-0.343,0.15,0.993,0,nan,nan,0.853,0.025,-0.036000000000000004,5761.6,163.0,-144.8,4.572,0.014,-0.022,-0.488,0.122,-0.124,0.79,0.011,-0.01,0.234,-1.111,-0.992,-0.21,-1.0659999999999998,-1.217,1.79,nan,2.62,-1.26,599.4,9.9,-7.9,0.261,1.0,12.33,122.851,92.619,68.795,24.150578806030694,36.790350466438106,-1.80164611676979,-12.4414853157435,1.21714697063512,0.170190052430546,290.72871684784,37.25265753911,1.6024,0.0201,9.327,0.032,-2.089,0.036000000000000004,0.8737,0.8113,1458.931,1458.931,5549,111,612.8969999999998,7.562,7.4,0.825,0.037000000000000005,0.035,0.245,0,,FALSE POSITIVE,FALSE POSITIVE,0.149,86.723653,0.0017579999999999998,-0.0017579999999999998,195.3511,0.0168,-0.0168,0.662,0.31,-0.466,4.852,0.506,-0.506,241.0,28.0,-28.0,1.43,0.39,-0.12,391.0,nan,nan,5.5,4.24,-1.42,9.4,1.29229648186764,0.36364344866429,374.564465173656,1.2643608115020597,27.753791023523913
1872821,15.4342,0.0201,13.333,0.035,1.1487,0.0234,0.006999999999999999,0.15,0.9528,0,nan,nan,0.931,0.036000000000000004,-0.044,5683.9,93.7,-94.5,4.518,0.021,-0.03,-0.117,0.114,-0.118,0.879,0.024,-0.023,0.132,-0.993,-0.943,-0.13699999999999998,-1.21,-1.252,2.19,nan,2.92,-1.53,878.0,24.6,-24.1,0.299,1.0,12.01,207.968,157.015,123.839,25.685007377392697,37.5154320443889,-3.5136342509045804,-19.5055735733024,0.951809043681858,0.196992887108638,292.42759630934,37.32076155809,1.1187,0.0234,4.94,0.039,-6.347,0.042,0.8736,0.8331,1458.931,1458.931,5819,116,871.698,17.958,17.293,0.862,0.042,0.04,0.263,0,,CANDIDATE,CANDIDATE,1.0,10.27380957,5.929e-05,-5.929e-05,134.65748,0.00505,-0.00505,0.125,0.334,-0.125,3.252,0.141,-0.141,352.8,20.5,-20.5,1.68,0.16,-0.08,799.0,nan,nan,96.27,24.4,-14.49,19.2,1.64095419239272,0.090310576948123,782.130758486888,1.2302406850146064,33.18819344510573
2010152,13.8174,0.02,11.754,0.018000000000000002,2.2303,0.0149,-0.28600000000000003,0.15,0.9425,0,nan,nan,0.909,0.054000000000000006,-0.058,5860.0,110.7,-113.5,4.471,0.032,-0.038,-0.303,0.128,-0.134,0.916,0.018000000000000002,-0.017,0.069,-0.983,-0.953,-0.048,-1.182,-1.193,4.33,nan,3.79,-2.74,447.7,7.8,-7.7,0.328,1.0,11.4,99.68,84.28399999999998,75.81,24.0586466945302,35.0122407430461,0.25569089802593303,-7.015512424084232,1.0064188836030898,1.02901556627834,290.37885794114,37.48148097598,2.2003,0.0149,11.357,0.025,13.466,0.03,0.8734,0.8675,1458.931,1458.931,6049,212,448.432,2.984,2.952,0.908,0.067,0.061,0.154,0,,FALSE POSITIVE,FALSE POSITIVE,0.058,317.74527,0.01709,-0.01709,205.9582,0.0338,-0.0338,0.787,0.16,-0.536,17.54,1.4,-1.4,206.6,14.1,-14.1,2.1,0.69,-0.83,336.0,nan,nan,3.03,2.95,-2.04,13.6,1.4438565718944498,0.882758157060615,263.28874295489896,1.2905566889191993,37.43830390818603
2164169,15.228,0.0201,13.205,0.038,0.7775,0.025,0.045,0.15,1.0005,0,nan,nan,1.132,0.069,-0.077,6013.1,124.5,-118.2,4.245,0.044,-0.046,0.033,0.156,-0.13,1.3159999999999998,0.057,-0.05,-0.316,-1.158,-1.196,0.313,-0.6729999999999999,-0.741,4.21,nan,2.07,-1.57,1275.9,51.4,-48.2,0.403,1.0,6.33,184.546,138.795,108.195,26.111602521244198,37.5292901871736,-9.69010538977526,-30.3353296384249,1.23574406138745,0.382528327794154,292.29101287048,37.58076855283,0.7475,0.025,3.56,0.041,-7.0470000000000015,0.047,0.8735,0.8502,1458.931,1458.931,5825,116,1290.091,42.554,40.026,1.354,0.076,0.071,0.259,0,,CANDIDATE,CANDIDATE,1.0,32.312286699999994,0.0001736,-0.0001736,133.86700000000002,0.0047,-0.0047,0.934,0.005,-0.6459999999999999,6.569,0.208,-0.208,677.8,22.6,-22.6,4.84,0.79,-1.06,699.0,nan,nan,56.49,24.19,-23.8,33.6,4.25896542920305,0.20691643473682,668.8622500683159,1.6611477640321002,48.13265044322917
2302758,15.1317,0.0201,13.103,0.038,0.9357,0.0227,0.163,0.15,1.0152,0,nan,nan,1.14,0.054000000000000006,-0.066,6023.6,109.3,-107.8,4.367,0.031,-0.04,0.124,0.13,-0.131,1.154,0.038,-0.035,-0.134,-1.14,-1.078,0.201,-0.856,-0.872,2.05,nan,2.01,-1.32,1068.0,34.4,-32.8,0.434,1.0,6.55,153.781,112.713,83.09299999999998,25.948866303080106,37.8539073267089,-6.1545082866686105,-23.858430503000196,1.33266576827687,0.5339007464063761,291.40294327098997,37.67668566471,0.9057,0.0227,5.431,0.036000000000000004,-0.6970000000000001,0.043,0.8734,0.5233,1458.931,1458.767,5875,118,1070.646,26.387,25.215,1.172,0.061,0.057,0.305,0,,FALSE POSITIVE,FALSE POSITIVE,0.0,0.5421226170000001,2.229e-06,-2.229e-06,131.98408,0.00356,-0.00356,0.108,0.369,-0.108,1.283,0.107,-0.107,88.3,6.7,-6.7,0.94,0.14,-0.05,2238.0,nan,nan,5914.13,2276.79,-890.37,16.3,1.0806294214578,0.013592552421112,2448.0277052081697,1.46274242440323,27.737601073496496
2302997,16.1021,0.0203,11.786,0.021,4.0913,0.0239,nan,nan,1.1349,0,nan,nan,0.617,0.014,-0.014,4098.7,64.9,-76.5,4.623,0.02,-0.016,0.107,0.117,-0.116,0.631,0.019,-0.02,0.382,-0.711,-0.809,-0.995,-2.018,-2.033,10.69,*,6.21,-6.93,240.5,9.8,-9.5,0.0,1.0,56.85,171.938,133.4,112.077,23.632766717427398,36.7323884476778,1.14135370081562,-2.86425879548124,0.535392690198864,0.626864585560952,291.4548246558,37.67720722402,4.0613,0.0239,-9.862,0.037000000000000005,17.273,0.04,0.8736,0.8552,1458.931,1458.931,3903,137,244.448,1.421,1.408,0.633,0.018000000000000002,0.018000000000000002,0.07,0,,CANDIDATE,CANDIDATE,0.957,16.2982201,0.0002292,-0.0002292,134.7404,0.0126,-0.0126,0.698,0.264,-0.475,2.5580000000000003,0.482,-0.482,199.0,30.3,-30.3,0.78,0.05,-0.04,388.0,nan,nan,5.38,1.15,-1.04,7.9,0.945754416628776,0.10710002092641302,438.807297446972,1.068432211335203,23.04377919625493
